idcama,idequipo
76,10
46,11
26,13
97,2
19,2
81,1
21,9
99,3
71,13
61,3
28,8
76,8
86,8
98,9
99,14
25,6
48,1
50,5
78,1
2,10
13,1
85,6
82,12
53,9
34,7
97,5
46,10
8,1
49,4
58,2
29,5
19,6
70,3
19,4
97,1
7,14
11,10
86,6
62,13
33,6
7,6
23,3
5,2
43,13
17,9
38,10
12,3
70,9
35,3
27,3
83,9
40,4
65,5
3,5
25,12
19,8
87,12
53,5
77,3
82,1
74,6
45,4
11,12
91,2
62,8
74,10
32,2
51,6
63,5
19,5
98,13
86,1
24,8
68,8
34,8
90,9
8,3
100,7
14,6
3,10
50,4
94,3
40,12
11,5
11,7
25,13
21,13
96,5
37,2
24,5
74,1
60,3
43,10
56,1
26,11
14,12
74,5
53,7
37,7
23,8
19,9
12,10
5,6
36,2
24,12
70,9
52,14
70,14
50,9
34,11
61,13
80,1
76,12
19,14
16,9
69,14
93,13
43,12
80,12
34,4
46,10
21,1
82,11
82,11
74,1
44,5
86,2
11,13
2,11
74,7
44,8
66,4
78,7
62,6
47,14
62,9
74,10
93,3
36,8
58,1
42,1
95,6
10,8
30,13
86,10
33,6
88,7
87,6
58,8
43,13
57,3
36,7
9,9
10,8
75,3
36,9
59,8
1,6
26,14
51,4
76,10
31,2
77,11
77,7
71,3
28,12
88,6
62,13
60,13
60,1
92,6
22,14
59,1
51,14
74,9
21,5
85,11
44,14
41,5
99,1
89,4
99,12
21,1
1,10
13,12
29,14
19,14
88,11
91,2
80,5
26,11
52,11
17,4
46,11
32,6
93,13
3,8
41,14
62,14
88,3
